合計 / 漁獲量,503ミゾイサキ,433メアジ,4532小型ひいらぎ類,440ひらあじ類,661タチウオ,445ギンガメアジ類,6311ヨコシマサワラ,623グルクマ,434ホソヒラアジ,4531セイタカヒイラギ,411ツムブリ,432ﾑﾛｱｼﾞ類,6810シモフリアイゴ,343カマス科,421いけかつお,119ﾘｭｳｷｭｳﾄﾞﾛｸｲ,2213ｵｷｻﾞﾖﾘ、ﾃﾝｼﾞｸﾀﾞﾂ,442マブタシマアジ,642スマ,2212ハマダツ,1152ﾎｼﾔﾏﾄﾐｽﾞﾝ、ﾔﾏﾄﾐｽﾞﾝ,641ヒラソウダ,342タイワンメナダ他,722ウスバハギ他,4582くばく,444ロウニンアジ,832ヒラケンサキイカ,4401ｳﾏｽﾞﾗｱｼﾞ、ｲﾄﾋｷｱｼﾞ,4581あまいゆ,511コトヒキ,221だつ,682ゴマアイゴ,414ﾋﾚﾅｶﾞｶﾝﾊﾟﾁ､ｶﾝﾊﾟﾁ,8331アオリイカ（白）,251アオヤガラ他,1151ミズン,451シイラ,546ハマフエフキ他,487小型ふえだい類,551ツバメウオ他,2211リュウキュウダツ,643カツオ,101さめ類,223ｻﾖﾘ科,652しび,732ﾊﾘｾﾝﾎﾞﾝ科,5341ヘダイ,501コショウダイ属,5221まーいじきん,461ヒメジ科
1996年,724.1 ,2083.2 ,1922.3 ,1991.9 ,1212.2 ,435.2 ,1340.1 ,1969.3 ,353.4 ,1462.6 ,2540.5 ,197.3 ,1312.4 ,1190.3 ,243.1 ,258.8 ,874.8 ,567.9 ,0.0 ,991.2 ,0.0 ,0.0 ,335.9 ,292.6 ,429.2 ,0.0 ,360.1 ,9.1 ,70.9 ,96.6 ,0.0 ,147.9 ,94.1 ,297.9 ,119.3 ,0.0 ,199.6 ,28.8 ,69.1 ,0.0 ,6.6 ,29.8 ,6.4 ,83.9 ,0.0 ,27.1 ,26.4 ,93.4 ,23.0 ,9.4 
1997年,211.1 ,1742.9 ,2697.3 ,4016.9 ,1479.0 ,23.6 ,653.4 ,678.9 ,115.9 ,363.9 ,2768.7 ,19.4 ,678.2 ,911.4 ,134.4 ,16.5 ,365.4 ,590.2 ,0.0 ,111.5 ,46.8 ,166.3 ,99.7 ,74.6 ,212.5 ,0.0 ,362.1 ,278.9 ,72.1 ,132.7 ,0.0 ,102.0 ,117.3 ,86.0 ,70.4 ,0.0 ,16.5 ,37.9 ,45.3 ,0.0 ,58.9 ,48.6 ,107.5 ,44.6 ,8.7 ,12.3 ,6.9 ,21.0 ,27.3 ,18.1 
1998年,357.3 ,3049.8 ,2723.7 ,3154.4 ,2836.3 ,5.5 ,79.3 ,759.7 ,308.3 ,681.2 ,1655.1 ,925.9 ,676.5 ,331.9 ,2470.0 ,124.9 ,170.3 ,310.2 ,0.0 ,337.4 ,13.4 ,46.3 ,27.6 ,53.5 ,729.2 ,0.0 ,541.0 ,141.4 ,87.6 ,234.9 ,0.0 ,106.1 ,104.9 ,78.1 ,42.6 ,0.0 ,0.0 ,23.6 ,29.4 ,0.0 ,1.7 ,124.5 ,41.3 ,0.2 ,0.0 ,11.1 ,1.1 ,54.7 ,16.5 ,16.8 
1999年,3882.1 ,8105.7 ,6114.5 ,4341.1 ,2502.3 ,0.0 ,1498.5 ,543.6 ,231.4 ,1635.0 ,339.6 ,0.7 ,935.3 ,1370.4 ,2170.3 ,194.6 ,1669.9 ,507.5 ,171.2 ,433.2 ,21.3 ,0.0 ,100.0 ,48.1 ,485.0 ,0.0 ,146.2 ,308.1 ,27.0 ,107.3 ,0.0 ,107.8 ,70.3 ,109.2 ,240.1 ,0.0 ,0.0 ,24.2 ,25.6 ,0.0 ,43.3 ,133.2 ,50.8 ,0.0 ,0.0 ,9.8 ,21.5 ,36.1 ,32.6 ,35.4 
2000年,5738.2 ,3003.1 ,827.1 ,3182.3 ,2312.7 ,2.0 ,2048.8 ,1416.3 ,632.7 ,290.2 ,339.8 ,1.1 ,1383.8 ,659.4 ,387.5 ,870.4 ,234.7 ,299.3 ,57.9 ,119.3 ,0.4 ,187.3 ,104.6 ,53.6 ,90.6 ,12.2 ,60.3 ,835.7 ,1.2 ,51.8 ,0.0 ,31.6 ,18.2 ,47.7 ,43.0 ,0.0 ,3.6 ,27.5 ,14.5 ,0.0 ,26.7 ,70.1 ,34.2 ,52.9 ,0.0 ,30.9 ,24.8 ,46.2 ,52.8 ,12.7 
2001年,3575.8 ,1460.8 ,972.6 ,1962.7 ,1675.5 ,368.6 ,344.4 ,619.9 ,365.1 ,405.3 ,481.4 ,202.7 ,400.1 ,478.3 ,107.7 ,329.1 ,48.0 ,243.0 ,38.0 ,425.7 ,32.5 ,81.0 ,22.9 ,135.7 ,60.6 ,11.8 ,325.3 ,351.2 ,52.4 ,60.3 ,0.0 ,87.3 ,36.9 ,44.6 ,32.7 ,0.0 ,0.0 ,58.7 ,69.8 ,24.3 ,12.0 ,11.5 ,23.4 ,0.1 ,0.0 ,47.1 ,7.3 ,21.4 ,33.8 ,14.0 
2002年,1191.9 ,4332.7 ,46.2 ,4052.1 ,2405.2 ,454.5 ,1520.8 ,1636.4 ,1604.4 ,64.2 ,273.4 ,0.0 ,1140.1 ,271.6 ,480.1 ,1251.6 ,58.8 ,123.6 ,6.2 ,40.7 ,67.7 ,119.2 ,23.4 ,76.3 ,21.4 ,77.9 ,2.5 ,16.3 ,8.8 ,19.8 ,0.0 ,50.2 ,0.0 ,55.6 ,31.5 ,0.0 ,58.1 ,85.7 ,39.8 ,10.5 ,10.5 ,15.1 ,8.7 ,44.2 ,0.0 ,147.7 ,14.1 ,48.4 ,20.6 ,14.1 
2003年,568.8 ,1337.2 ,4451.8 ,990.8 ,2478.8 ,798.1 ,1079.0 ,1419.8 ,819.1 ,461.9 ,196.6 ,886.9 ,906.3 ,338.5 ,148.5 ,70.1 ,49.1 ,420.2 ,22.6 ,11.3 ,1292.3 ,75.4 ,50.8 ,241.7 ,29.8 ,5.4 ,63.4 ,193.5 ,307.2 ,84.7 ,0.0 ,75.5 ,60.6 ,34.7 ,28.6 ,0.0 ,0.3 ,27.4 ,62.0 ,7.5 ,3.5 ,13.3 ,17.1 ,17.2 ,0.0 ,32.3 ,3.8 ,16.5 ,19.3 ,230.8 
2004年,566.7 ,2459.7 ,7265.1 ,646.8 ,1347.3 ,1334.2 ,462.3 ,1837.4 ,4758.9 ,202.8 ,195.1 ,5260.1 ,505.3 ,371.7 ,70.8 ,292.5 ,138.4 ,127.4 ,0.0 ,9.3 ,75.9 ,265.1 ,13.5 ,65.9 ,41.1 ,41.4 ,40.1 ,0.0 ,529.0 ,55.9 ,0.0 ,71.2 ,59.3 ,39.5 ,104.2 ,0.0 ,0.8 ,36.8 ,49.7 ,48.9 ,17.0 ,3.7 ,16.4 ,4.6 ,7.6 ,37.5 ,2.8 ,16.3 ,65.0 ,7.6 
2005年,4631.6 ,5805.6 ,200.8 ,2942.0 ,2300.4 ,5916.8 ,9041.6 ,4894.8 ,698.4 ,1412.6 ,119.2 ,792.6 ,1493.4 ,412.8 ,541.0 ,925.4 ,1003.2 ,412.6 ,415.8 ,244.8 ,754.6 ,234.4 ,715.2 ,702.0 ,83.0 ,1724.0 ,8.0 ,0.0 ,98.2 ,116.4 ,0.0 ,164.8 ,321.0 ,123.6 ,95.4 ,28.6 ,168.4 ,118.6 ,106.8 ,172.8 ,78.2 ,92.4 ,120.4 ,213.8 ,0.0 ,82.8 ,49.0 ,31.4 ,14.4 ,19.4 
